X,Y,Z
517616.3265,5245193.327,488
517616.3265,5245769.265,585
517616.3265,5246345.204,578
517616.3265,5246921.143,639
517616.3265,5247497.082,804
517616.3265,5248073.02,1009
517616.3265,5248648.959,1129
517616.3265,5249224.898,1203
517616.3265,5249800.837,1138
517616.3265,5250376.776,1139
517616.3265,5250952.714,1168
517616.3265,5251528.653,1217
517616.3265,5252104.592,1082
517616.3265,5252680.531,851
517616.3265,5253256.469,535
517616.3265,5253832.408,538
517616.3265,5254408.347,441
517616.3265,5254984.286,558
517616.3265,5255560.224,634
517616.3265,5256136.163,587
517616.3265,5256712.102,635
517616.3265,5257288.041,630
517616.3265,5257863.98,485
517616.3265,5258439.918,278
517616.3265,5259015.857,244
517616.3265,5259591.796,217
517616.3265,5260167.735,335
517616.3265,5260743.673,373
517616.3265,5261319.612,410
517616.3265,5261895.551,352
517616.3265,5262471.49,177
517616.3265,5263047.429,224
517616.3265,5263623.367,216
517616.3265,5264199.306,274
517616.3265,5264775.245,221
517616.3265,5265351.184,224
517616.3265,5265927.122,103
517616.3265,5266503.061,65
517616.3265,5267079,24
518224.9592,5238858,185
518224.9592,5239433.939,108
518224.9592,5240009.878,92
518224.9592,5240585.816,195
518224.9592,5241161.755,220
518224.9592,5241737.694,240
518224.9592,5242313.633,269
518224.9592,5242889.571,267
518224.9592,5243465.51,250
518224.9592,5244041.449,312
518224.9592,5244617.388,434
518224.9592,5245193.327,591
518224.9592,5245769.265,700
518224.9592,5246345.204,748
518224.9592,5246921.143,775
518224.9592,5247497.082,864
518224.9592,5248073.02,1051
518224.9592,5248648.959,1129
518224.9592,5249224.898,1206
518224.9592,5249800.837,1171
518224.9592,5250376.776,1170
518224.9592,5250952.714,1179
518224.9592,5251528.653,1112
518224.9592,5252104.592,1115
518224.9592,5252680.531,819
518224.9592,5253256.469,511
518224.9592,5253832.408,352
518224.9592,5254408.347,316
518224.9592,5254984.286,423
518224.9592,5255560.224,361
518224.9592,5256136.163,501
